vehicle,item,quantitiy,serial,date_purchased,kilometer,description,km_diff,time_diff,time_diff
AA-3-03478,tyre,3,"111005227B, 1112297B, 111006967B",12/9/2011 0:00,0,Addis Tyre with Inner Tube size 6.00 x 12,0,8month,8month
AA-3-03478,tyre,3,"1913,2013x2",5/12/2014 0:00,0,Ling Long Tyre Tube Less Size 155/80 R12,0,2year & 5 month,2year & 5 month
AA-3-03478,tyre,4,"4816, 4816",12/12/2017 0:00,292570,Swallow Tyres Tubeless Size 155/80 R12,0,3year & 7 month,3year & 7 month
AA-3-03478,tyre,2,00214362A & 00314473A,8/8/2020 0:00,316861,Addis Tyre size 6.00*12,24291,2year & 8 month,2year & 8 month
AA-3-03478,tyre,4,4819*2,6/30/2020 0:00,337465,Duraturn Tyre Tubeless Size 155/80 R12,77818,1year & 9 month,1year & 9 month
AA-3-A26106,battery,1,GF09HB2,12/26/2019 0:00,141501,Yuasa Battery with Acid size 12V 70 Amp,35976,1year &amp; 9 months,1year &amp; 9 months
AA-3-A26106,battery,1,GF09HB1,10/15/2021 0:00,177477,Yuasa Battery with Acid size 12V 70Amp,48270,1year &amp; 5 months,1year &amp; 5 months
AA-3-01587,battery,1,9G23D,12/15/2020 0:00,27673,X-Pro battery with Acid Size 12V 135Amp,15457,3 year and 1 month,4 year and 1 month
AA-3-67809,tyre,4,"CCD1217,JKK1317,CCD0717",3/12/2019 0:00,128848,Bridgstone Tyre Tubeless Size 235/75 R15,44699,3 years,4 years
AA-3-67809,tyre,1,CCD0319,9/20/2021 0:00,173547,Bridgestone Tyre Tubeless Size 235/75 R15,22243,1 year and 6 month,2 year and 6 month
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,163213,GS Battery with Acid Size 55AMP 12V,69715,9 year and 12 day,10 year and 12 day
AA-3-04873,battery,1,372872090520S1/B,8/24/2020 0:00,27847,Chloride Exide with Acid Size 12V 35 Amp,26121,3 year,4 year
AA-3-02657,tyre,2,37173617,3/22/2019 0:00,181247,Ling Long Tyre Tubeless Size 165/80 R13,35177,4 year and 1 month,5 year and 1 month
AA-3-02657,tyre,2,1418*,12/7/2019 0:00,188770,Triangle Tyre Tubeless Size 165/R13,27654,3year and 9 month,3year and 9 month
AA-3-04954,tyre,2,90809142A & 90807948A,8/5/2019 0:00,63502,Addis Tyres Tubeless Size 155/80 R12,279889,3 year & 11 month,4 year & 11 month
AA-3-04954,tyre,2,43194319,4/25/2020 0:00,74761,Duratun Tyre Tubeless Size 185 R14,268630,3 Year,4 Year
AA-3-04954,tyre,4,"4,819,471,947,194,710",6/14/2021 0:00,94689,Duraturn Tyre Size 155/80 R 12,248693,1year and 10 month,1year and 10 month
AA-3-04723,battery,1,GD29FE2,5/20/2020 0:00,140370,Yuasa Battery W/Acid Size 12V 35Am,121697,2 year and 11 month,3 year and 11 month
AA-3-A03940,battery,1,9570320962,2/8/2020 0:00,232742,Energizer Battery W/Acid Size 12V 70Amp,67492,3Year & 3month,3Year & 3month
AA-3-A03940,battery,1,D050970519,7/23/2018 0:00,185503,3S Battery W/Acid Size 12V 70amp,114731,4 Years & 9 month,5 Years & 9 month
AA-03-02478,battery,1,GD30EF1,4/23/2018 0:00,351820,Yuasa Battery with acid size 12V 35Amp,43528,5 years,6 years
AA-3-0131,tyre,1,No serial Number,8/4/2020 0:00,0,Tyre for Motor Cycle size 4.10*18,0,7 Month and 15 Days,8 Month and 15 Days
AA-3-0131,tyre,1,No serial Number,3/19/2021 0:00,0,Tyre with Inner tube for Motor Cycle size 4.10*18,0,2 years and 9 Month,3 years and 9 Month
AA-3-06888,battery,1,GD29EF2,3/16/2020 0:00,307737,Yuasa Battery with Acid size 12 V 35 Amp,30310,3 years and 1 month,4 years and 1 month
AA-3-06888,battery,1,GD05FF2,5/15/2021 0:00,338047,Yuasa Battery with Acid size 12V 35A,17501,1year and 12 month,1year and 12 month
AA-3-42272,battery,1,GD30F1,10/4/2018 0:00,257701,Yuasa Battery W/Acid 12V 35Amp,20606,5 years 1 month,6 years 1 month
AA-3-04723,tyre,2,3118x2,7/16/2019 0:00,120130,Pirelli Tyres Tubeless Size 165/70 R13,66601,3 years and 10 month,4 years and 10 month
AA-3-04723,tyre,2,4116*2,6/22/2018 0:00,104771,Pirelli Tyres Tubeless Size 165/70 R13,81960,4 year and 10 month,5 year and 10 month
AA-3-36644,battery,1,00094227101852/B,8/1/2019 0:00,230947,Chloride Exide Battery Size 12V 55Amp,265120,3 years and 9 month,4 years and 9 month
AA-3-90514,tyre,2,"4018, 4317",9/3/2019 0:00,91753,Ling Long Tyre Size 155/ R13,54074,3 years and 8 month,4 years and 8 month
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
